iter	Passed	Remaining
0	2	578
1	4	525
2	6	508
3	8	495
4	10	490
5	11	484
6	13	480
7	15	482
8	17	481
9	19	475
10	21	471
11	23	469
12	25	467
13	27	464
14	29	462
15	31	459
16	33	459
17	35	457
18	37	454
19	39	452
20	41	449
21	43	447
22	45	444
23	46	441
24	49	441
25	51	439
26	52	437
27	54	435
28	56	432
29	58	430
30	60	428
31	62	426
32	64	426
33	67	425
34	69	423
35	70	421
36	72	419
37	74	417
38	76	415
39	78	412
40	80	412
41	82	410
42	84	408
43	86	406
44	88	404
45	90	403
46	92	401
47	94	399
48	97	399
49	99	398
50	101	396
51	103	394
52	105	391
53	107	389
54	109	387
55	111	385
56	113	385
57	115	383
58	117	381
59	119	378
60	121	376
61	123	374
62	125	372
63	127	371
64	129	369
65	131	367
66	133	365
67	135	363
68	137	360
69	139	358
70	141	355
71	142	353
72	144	351
73	147	350
74	149	349
75	151	347
76	153	345
77	155	342
78	157	340
79	159	338
80	161	336
81	163	334
82	165	333
83	167	331
84	169	329
85	171	326
86	173	324
87	174	321
88	176	319
89	178	317
90	180	315
91	182	313
92	184	311
93	186	308
94	187	306
95	189	304
96	191	302
97	193	300
98	196	299
99	198	297
100	200	295
101	201	292
102	203	290
103	205	288
104	207	286
105	209	284
106	211	283
107	213	281
108	215	278
109	217	276
110	219	274
111	221	272
112	223	271
113	225	269
114	227	267
115	230	265
116	232	263
117	234	261
118	236	259
119	238	257
120	240	256
121	242	254
122	244	252
123	246	250
124	249	249
125	251	247
126	253	245
127	255	243
128	257	241
129	259	239
130	261	237
131	263	235
132	265	233
133	267	231
134	269	229
135	272	228
136	274	226
137	276	224
138	278	222
139	280	220
140	282	218
141	285	217
142	287	215
143	290	213
144	292	211
145	294	209
146	296	207
147	298	205
148	299	203
149	301	200
150	303	198
151	304	196
152	306	194
153	308	192
154	310	190
155	312	188
156	314	186
157	315	183
158	317	181
159	319	179
160	320	177
161	323	175
162	325	173
163	326	171
164	328	169
165	330	167
166	331	164
167	333	162
168	335	160
169	337	158
170	339	156
171	340	154
172	342	152
173	344	150
174	346	148
175	347	146
176	349	144
177	351	142
178	352	139
179	354	138
180	356	135
181	358	133
182	360	131
183	361	129
184	363	127
185	365	125
186	367	123
187	368	121
188	371	119
189	373	117
190	374	115
191	376	113
192	378	111
193	380	109
194	381	107
195	383	105
196	385	103
197	387	101
198	389	99
199	391	97
200	393	95
201	394	93
202	396	91
203	398	89
204	400	87
205	402	85
206	404	83
207	406	82
208	407	80
209	409	78
210	411	76
211	413	74
212	415	72
213	417	70
214	419	68
215	421	66
216	423	64
217	424	62
218	426	60
219	428	58
220	430	56
221	432	54
222	434	52
223	436	50
224	438	48
225	439	46
226	441	44
227	443	42
228	445	40
229	447	38
230	448	36
231	451	34
232	452	33
233	454	31
234	456	29
235	458	27
236	459	25
237	461	23
238	463	21
239	465	19
240	467	17
241	469	15
242	471	13
243	473	11
244	474	9
245	476	7
246	478	5
247	480	3
248	482	1
249	484	0
